number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 11:41:09.876581,2026-02-24 11:41:36.237036,0 days 00:00:26.360455,0.13022801456894847,3,32,110,0.0009214760819699552,256,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
1,0.5,2026-02-24 11:41:36.237076,2026-02-24 11:42:02.337380,0 days 00:00:26.100304,0.08808827756393448,3,32,80,0.0004318540352082612,512,2,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 11:42:02.337421,2026-02-24 11:42:33.556589,0 days 00:00:31.219168,0.07709022387173999,4,64,20,0.00020215355318389463,256,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 11:42:33.556632,2026-02-24 11:43:04.884247,0 days 00:00:31.327615,0.15388705827181712,4,64,60,0.0006492216802643113,512,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 11:43:04.884288,2026-02-24 11:43:41.766173,0 days 00:00:36.881885,0.06488930443553666,5,32,120,0.00022964459027493742,512,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 11:43:41.766216,2026-02-24 11:44:18.962892,0 days 00:00:37.196676,0.042833596756477264,5,32,40,0.0009167087319715506,512,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 11:44:18.962934,2026-02-24 11:44:40.344292,0 days 00:00:21.381358,0.2028650230742603,2,128,100,0.0004156765782356145,64,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 11:44:40.344332,2026-02-24 11:44:56.081522,0 days 00:00:15.737190,0.058814390503960576,1,64,110,0.0002319278629227066,256,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 11:44:56.081562,2026-02-24 11:45:42.235964,0 days 00:00:46.154402,0.1124263720591909,4,128,110,0.00055399634651152,512,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 11:45:42.236003,2026-02-24 11:46:13.932799,0 days 00:00:31.696796,0.08870189994211419,4,128,130,0.00011206478840957554,64,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
10,0.5,2026-02-24 11:46:13.932839,2026-02-24 11:46:35.469190,0 days 00:00:21.536351,0.2794215448489824,2,32,140,0.0009670616520362662,32,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
11,0.5,2026-02-24 11:46:35.469231,2026-02-24 11:47:01.697984,0 days 00:00:26.228753,0.006664812050518526,3,32,80,0.0003880983438009752,128,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
12,0.5,2026-02-24 11:47:01.698025,2026-02-24 11:47:28.048806,0 days 00:00:26.350781,0.15873553488599967,3,32,80,0.0006124456903258441,256,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
13,0.5,2026-02-24 11:47:28.048844,2026-02-24 11:47:54.733739,0 days 00:00:26.684895,0.19651512432999738,3,32,90,0.00031098066392181524,128,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
14,0.5,2026-02-24 11:47:54.733791,2026-02-24 11:48:16.120359,0 days 00:00:21.386568,0.1250597623697693,2,32,60,0.0007440954877123684,32,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
15,0.5,2026-02-24 11:48:16.120402,2026-02-24 11:48:42.582148,0 days 00:00:26.461746,0.2040863750548494,3,32,70,0.0004862202055758834,256,2,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
16,0.5,2026-02-24 11:48:42.582190,2026-02-24 11:48:58.462592,0 days 00:00:15.880402,0.26324475933672403,1,32,100,0.00013445307454470527,512,8,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
17,0.5,2026-02-24 11:48:58.462631,2026-02-24 11:49:19.542638,0 days 00:00:21.080007,0.11877595588319985,2,32,40,0.00031534850635306746,256,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
19,0.5,2026-02-24 11:49:40.812796,2026-02-24 11:50:07.130474,0 days 00:00:26.317678,0.17985951263256347,3,128,90,0.00016494545035359022,64,4,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
20,0.5,2026-02-24 11:50:07.130515,2026-02-24 11:50:38.476400,0 days 00:00:31.345885,0.23079933509413267,4,32,120,0.000421220018436342,32,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
21,0.5,2026-02-24 11:50:38.476439,2026-02-24 11:51:10.014695,0 days 00:00:31.538256,0.08658291886478407,4,64,30,0.00020954081562474347,256,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
22,0.5,2026-02-24 11:51:10.014737,2026-02-24 11:51:47.247865,0 days 00:00:37.233128,0.09185278646467636,5,64,20,0.00018472438560314204,256,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
24,0.5,2026-02-24 11:52:18.637481,2026-02-24 11:52:44.896048,0 days 00:00:26.258567,0.06428887541929365,3,64,50,0.0001447027615544113,256,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
23,0.5,2026-02-24 11:51:47.247906,2026-02-24 11:52:18.637440,0 days 00:00:31.389534,0.13198047311675054,4,64,60,0.00026992801209567056,256,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
27,0.5,2026-02-24 11:53:42.587965,2026-02-24 11:54:08.854481,0 days 00:00:26.266516,0.13786845321770816,3,64,100,0.00010090790157708309,256,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
26,0.5,2026-02-24 11:53:16.233829,2026-02-24 11:53:42.587924,0 days 00:00:26.354095,0.09897285018758334,3,32,70,0.00027959213647984414,256,2,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
30,0.5,2026-02-24 11:55:16.903485,2026-02-24 11:55:48.362476,0 days 00:00:31.458991,0.0510386564687873,4,64,50,0.00018463238459951804,128,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
31,0.5,2026-02-24 11:55:48.362516,2026-02-24 11:56:20.797929,0 days 00:00:32.435413,0.075165838198902,4,64,70,0.0006417740341039137,512,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
28,0.5,2026-02-24 11:54:08.854523,2026-02-24 11:54:45.478152,0 days 00:00:36.623629,0.1673880729475002,5,128,40,0.0005089445597082822,512,4,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
29,0.5,2026-02-24 11:54:45.478192,2026-02-24 11:55:16.903445,0 days 00:00:31.425253,0.1494682322479844,4,32,120,0.0007210633972937915,512,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
32,0.5,2026-02-24 11:56:20.797969,2026-02-24 11:56:57.833355,0 days 00:00:37.035386,0.10673324545904977,5,64,80,0.0008919325158483227,512,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
36,0.5,2026-02-24 11:58:34.831808,2026-02-24 11:58:55.746098,0 days 00:00:20.914290,0.17376292719496114,2,128,110,0.0005671624779882139,512,4,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
35,0.5,2026-02-24 11:58:03.527790,2026-02-24 11:58:34.831768,0 days 00:00:31.303978,0.06424821604401913,4,64,60,0.00048795023953813674,64,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
34,0.5,2026-02-24 11:57:24.090452,2026-02-24 11:58:03.527750,0 days 00:00:39.437298,0.1369543355203228,5,32,90,0.0006520866880806056,512,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
42,0.5,2026-02-24 12:01:16.681019,2026-02-24 12:01:53.413151,0 days 00:00:36.732132,0.07607846210931349,5,32,110,0.00021302441506954208,512,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
43,0.5,2026-02-24 12:01:53.413191,2026-02-24 12:02:30.578961,0 days 00:00:37.165770,0.09939279413741679,5,32,90,0.000221749851117196,512,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
44,0.5,2026-02-24 12:02:30.579001,2026-02-24 12:03:02.248272,0 days 00:00:31.669271,0.11484648750387437,4,32,80,0.0008435778508464005,256,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
37,0.5,2026-02-24 11:58:55.746139,2026-02-24 11:59:22.440832,0 days 00:00:26.694693,0.15140903705197492,3,32,50,0.0009989310468438404,32,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
38,0.5,2026-02-24 11:59:22.440872,2026-02-24 11:59:53.850966,0 days 00:00:31.410094,0.07702104203671009,4,64,100,0.0004330943596436864,256,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
39,0.5,2026-02-24 11:59:53.851006,2026-02-24 12:00:24.464585,0 days 00:00:30.613579,0.11087351652608765,3,128,120,0.00025379762132568014,64,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
40,0.5,2026-02-24 12:00:24.464625,2026-02-24 12:00:40.097865,0 days 00:00:15.633240,0.22878557214689405,1,32,130,0.00037119091010850134,512,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
41,0.5,2026-02-24 12:00:40.097915,2026-02-24 12:01:16.680980,0 days 00:00:36.583065,0.052724048843518716,5,32,130,0.00024303315377459077,512,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
47,0.5,2026-02-24 12:03:49.621917,2026-02-24 12:04:33.801039,0 days 00:00:44.179122,0.19338773637913104,3,32,130,0.00014329106307560678,512,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
48,0.5,2026-02-24 12:04:33.801080,2026-02-24 12:05:05.233576,0 days 00:00:31.432496,0.12511456058145992,4,128,110,0.0003482893751101587,256,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
45,0.5,2026-02-24 12:03:02.248312,2026-02-24 12:03:23.440221,0 days 00:00:21.191909,0.04270388045558713,2,32,140,0.00029576736922481506,128,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
18,0.15849364905389035,2026-02-24 11:49:19.542721,2026-02-24 11:49:40.812756,0 days 00:00:21.270035,0.017924993047685384,2,64,140,0.0007794178019593211,128,2,4,4,"[0.5, 0.5, 0.5, 0.0]",COMPLETE
33,0.15849364905389035,2026-02-24 11:56:57.833395,2026-02-24 11:57:24.090412,0 days 00:00:26.257017,0.033934864518742044,3,64,30,0.0008462979547455047,512,4,8,2,"[0.5, 0.5, 0.5, 0.0]",COMPLETE
25,0.15849364905389035,2026-02-24 11:52:44.896088,2026-02-24 11:53:16.233782,0 days 00:00:31.337694,0.03278281912428945,4,64,20,0.00035431086729013206,512,4,16,2,"[0.5, 0.5, 0.5, 0.0]",COMPLETE
46,0.15849364905389035,2026-02-24 12:03:23.440262,2026-02-24 12:03:49.621869,0 days 00:00:26.181607,0.0036161193263884728,3,32,70,0.000704491138013611,32,2,4,4,"[0.5, 0.5, 0.0, 0.5]",COMPLETE
49,0.0,2026-02-24 12:05:05.233616,2026-02-24 12:05:15.851893,0 days 00:00:10.618277,0.08601740881220957,2,32,120,0.0005728690512398633,64,2,16,2,,PRUNED
